Show,Season,Episode,Rating
Cheers,11,4,7.7
Cheers,11,5,7.6
Cheers,11,6,7.5
Cheers,11,7,7.7
Cheers,11,8,7.9
Cheers,11,9,7.3
Cheers,11,10,7.4
Cheers,11,11,7.6
Cheers,11,12,7.9
Cheers,11,13,7.4
Cheers,11,14,7.5
Cheers,11,15,7.4
Cheers,11,16,8.1
Cheers,11,17,8.2
Cheers,11,18,7.5
Cheers,11,19,8.3
Cheers,11,20,7.8
Cheers,11,21,8.2
Cheers,11,22,8.3
Cheers,11,23,7.6
Cheers,11,24,7.7
Cheers,11,25,9.1
Friends,1,1,8.1
Friends,1,2,7.9
Friends,1,3,8
Friends,1,4,7.9
Friends,1,5,8.3
Friends,1,6,8
Friends,1,7,8.9
Friends,1,8,7.9
Friends,1,9,8.1
Friends,1,10,7.9
Friends,1,11,8
Friends,1,12,8
Friends,1,13,8.5
Friends,1,14,8.1
Friends,1,15,8.1
Friends,1,16,8
Friends,1,17,8.3
Friends,1,18,8.7
Friends,1,19,7.9
Friends,1,20,7.7
Friends,1,21,7.6
Friends,1,22,8.1
Friends,1,23,8.6
Friends,1,24,8.7
Friends,2,1,8.4
Friends,2,2,8
Friends,2,3,8.2
Friends,2,4,7.8
Friends,2,5,8.1
Friends,2,6,8.4
Friends,2,7,8.9
Friends,2,8,8.4
Friends,2,9,7.8
Friends,2,10,7.8
Friends,2,11,7.9
Friends,2,12,8.5
Friends,2,13,8.6
Friends,2,14,9.3
Friends,2,15,8.7
Friends,2,16,8.5
Friends,2,17,8.1
Friends,2,18,8.3
Friends,2,19,8.4
Friends,2,20,8
Friends,2,21,8
Friends,2,22,8.9
Friends,2,23,7.9
Friends,2,24,8.1
Friends,3,1,8.3
Friends,3,2,8.9
Friends,3,3,7.9
Friends,3,4,7.9
Friends,3,5,8
Friends,3,6,9
Friends,3,7,8.1
Friends,3,8,8.2
Friends,3,9,8.9
Friends,3,10,8
Friends,3,11,8.4
Friends,3,12,8.1
Friends,3,13,8.1
Friends,3,14,7.7
Friends,3,15,8.4
Friends,3,16,9
Friends,3,17,8.2
Friends,3,18,8.2
Friends,3,19,8
Friends,3,20,7.9
Friends,3,21,8.6
Friends,3,22,8.1
Friends,3,23,7.9
Friends,3,24,8
Friends,3,25,8.7
Friends,4,1,8.9
Friends,4,2,7.9
Friends,4,3,8.4
Friends,4,4,8
Friends,4,5,8.3
Friends,4,6,8.4
Friends,4,7,8.6
Friends,4,8,9
Friends,4,9,7.7
Friends,4,10,7.9
Friends,4,11,8.4
Friends,4,12,9.4
Friends,4,13,8.1
Friends,4,14,8.1
Friends,4,15,8.4
Friends,4,16,8.1
Friends,4,17,8.5
Friends,4,18,8.1
Friends,4,19,8.6
Friends,4,20,8.4
Friends,4,21,6.9
Friends,4,22,8.3
Friends,4,23,8.6
Friends,4,24,9.1
Friends,5,1,8.8
Friends,5,2,8.9
Friends,5,3,8.7
Friends,5,4,8.1
Friends,5,5,8.6
Friends,5,6,7.9
Friends,5,7,8.2
Friends,5,8,9
Friends,5,9,9
Friends,5,10,8
Friends,5,11,9
Friends,5,12,8.1
Friends,5,13,7.9
Friends,5,14,9.7
Friends,5,15,8.4
Friends,5,16,8.5
Friends,5,17,8.3
Friends,5,18,7.8
Friends,5,19,8.6
Friends,5,20,8.1
Friends,5,21,8.3
Friends,5,22,8.1
Friends,5,23,8.7
Friends,5,24,9
Friends,6,1,8.6
Friends,6,2,8
Friends,6,3,8
Friends,6,4,8.4
Friends,6,5,8
Friends,6,6,8.4
Friends,6,7,8.2
Friends,6,8,8.3
Friends,6,9,9.1
Friends,6,10,8.5
Friends,6,11,7.9
Friends,6,12,7.8
Friends,6,13,8.1
Friends,6,14,8.4
Friends,6,15,8.3
Friends,6,16,8.4
Friends,6,17,9
Friends,6,18,8.2
Friends,6,19,8.1
Friends,6,20,7.2
Friends,6,21,8.5
Friends,6,22,8.9
Friends,6,23,8.4
Friends,6,24,8.6
Friends,6,25,9.2
Friends,7,1,8.3
Friends,7,2,8.1
Friends,7,3,8
Friends,7,4,7.9
Friends,7,5,7.9
Friends,7,6,8.7
Friends,7,7,8.3
Friends,7,8,8
Friends,7,9,8
Friends,7,10,8.4
Friends,7,11,8.4
Friends,7,12,8.5
Friends,7,13,8.3
Friends,7,14,8.4
Friends,7,15,8.3
Friends,7,16,8.6
Friends,7,17,8.2
Friends,7,18,8.2
Friends,7,19,8.5
Friends,7,20,8.2
Friends,7,21,7.2
Friends,7,22,8.2
Friends,7,23,8.7
Friends,7,24,9.1
Friends,8,1,8.6
Friends,8,2,9
Friends,8,3,8.6
Friends,8,4,9.2
Friends,8,5,7.9
Friends,8,6,8.4
Friends,8,7,7.7
Friends,8,8,8.6
Friends,8,9,9.2
Friends,8,10,7.9
Friends,8,11,7.8
Friends,8,12,8.4
Friends,8,13,8.4
Friends,8,14,8
Friends,8,15,8.2
Friends,8,16,8.1
Friends,8,17,7.9
Friends,8,18,8
Friends,8,19,7.2
Friends,8,20,8.1
Friends,8,21,8
Friends,8,22,8.2
Friends,8,23,8.7
Friends,8,24,8.8
Friends,9,1,8.5
Friends,9,2,8.4
Friends,9,3,8.1
Friends,9,4,8
Friends,9,5,8.3
Friends,9,6,8.2
Friends,9,7,8.5
Friends,9,8,8.7
Friends,9,9,8
Friends,9,10,7.2
Friends,9,11,7.8
Friends,9,12,7.7
Friends,9,13,8
Friends,9,14,8
Friends,9,15,8.2
Friends,9,16,8
Friends,9,17,8.3
Friends,9,18,8.5
Friends,9,19,7.9
Friends,9,20,8.1
Friends,9,21,8.1
Friends,9,22,7.6
Friends,9,23,8.5
Friends,10,1,8.4
Friends,10,2,8.7
Friends,10,3,8.6
Friends,10,4,8.2
Friends,10,5,8
Friends,10,6,8
Friends,10,7,8.1
Friends,10,8,8.8
Friends,10,9,8.4
Friends,10,10,7.8
Friends,10,11,8.9
Friends,10,12,8.8
Friends,10,13,8.3
Friends,10,14,8.5
Friends,10,15,8.4
Friends,10,16,8.8
Friends,10,17,9.6
The X-Files,1,1,8.2
The X-Files,1,2,8
The X-Files,1,3,8.5
The X-Files,1,4,7.5
The X-Files,1,5,6.9
The X-Files,1,6,7.2
The X-Files,1,7,6.7
The X-Files,1,8,8.7
The X-Files,1,9,6.2
The X-Files,1,10,7.8
The X-Files,1,11,8.1
The X-Files,1,12,7.3
The X-Files,1,13,8.6
The X-Files,1,14,7.3
The X-Files,1,15,7
The X-Files,1,16,7.2
The X-Files,1,17,8.4
The X-Files,1,18,7.1
The X-Files,1,19,7
The X-Files,1,20,8.4
The X-Files,1,21,8.3
The X-Files,1,22,7.1
The X-Files,1,23,7.2
The X-Files,1,24,9
The X-Files,2,1,8
The X-Files,2,2,8.2
The X-Files,2,3,7.4
The X-Files,2,4,7.7
The X-Files,2,5,8.6
The X-Files,2,6,8.6
The X-Files,2,7,6.3
The X-Files,2,8,8.3
The X-Files,2,9,7.1
The X-Files,2,10,7.6
The X-Files,2,11,6.9
The X-Files,2,12,7.3
The X-Files,2,13,8
The X-Files,2,14,8.1
The X-Files,2,15,7.1
The X-Files,2,16,8.7
The X-Files,2,17,8.7
The X-Files,2,18,6.5
The X-Files,2,19,7.5
The X-Files,2,20,8.6
The X-Files,2,21,7.5
The X-Files,2,22,8
The X-Files,2,23,7.8
The X-Files,2,24,7.8
The X-Files,2,25,9.1
The X-Files,3,1,8.6
The X-Files,3,2,9
The X-Files,3,3,7.8
The X-Files,3,4,9.2
The X-Files,3,5,7.1
The X-Files,3,6,7.4
The X-Files,3,7,7.1
The X-Files,3,8,7.7
The X-Files,3,9,8.5
The X-Files,3,10,8.7
The X-Files,3,11,7.2
The X-Files,3,12,8.7
The X-Files,3,13,7.6
The X-Files,3,14,7.3
The X-Files,3,15,8.4
The X-Files,3,16,8.6
The X-Files,3,17,8.5
The X-Files,3,18,5.9
The X-Files,3,19,7
The X-Files,3,20,8.9
The X-Files,3,21,7.6
The X-Files,3,22,8.1
The X-Files,3,23,8.3
The X-Files,3,24,8.6
The X-Files,4,1,8.4
The X-Files,4,2,8.8
The X-Files,4,3,6.6
The X-Files,4,4,8
The X-Files,4,5,6.7
The X-Files,4,6,7.3
The X-Files,4,7,9
The X-Files,4,8,8.5
The X-Files,4,9,8.1
The X-Files,4,10,8.7
The X-Files,4,11,6.7
The X-Files,4,12,8.3
The X-Files,4,13,7.5
The X-Files,4,14,8.4
The X-Files,4,15,6.9
The X-Files,4,16,7.2
The X-Files,4,17,8.4
The X-Files,4,18,8.4
The X-Files,4,19,7.7
The X-Files,4,20,8.9
The X-Files,4,21,8.1
The X-Files,4,22,7.8
The X-Files,4,23,7.8
The X-Files,4,24,8.6
The X-Files,5,1,8.6
The X-Files,5,2,9
The X-Files,5,3,8.4
The X-Files,5,4,8.1
The X-Files,5,5,8.5
The X-Files,5,6,7.7
The X-Files,5,7,7.6
The X-Files,5,8,7.7
The X-Files,5,9,7
The X-Files,5,10,7.5
The X-Files,5,11,7.8
The X-Files,5,12,9.2
The X-Files,5,13,8.2
The X-Files,5,14,8.3
The X-Files,5,15,7.4
The X-Files,5,16,7.7
The X-Files,5,17,7.3
The X-Files,5,18,8
The X-Files,5,19,8.5
The X-Files,5,20,8.8
The X-Files,6,1,8.1
The X-Files,6,2,8.5
The X-Files,6,3,8.6
The X-Files,6,4,9
The X-Files,6,5,8.8
The X-Files,6,6,8.2
The X-Files,6,7,7.7
The X-Files,6,8,7.3
The X-Files,6,9,7.8
The X-Files,6,10,8.3
The X-Files,6,11,8.6
The X-Files,6,12,8.8
The X-Files,6,13,7.3
The X-Files,6,14,8.8
The X-Files,6,15,8.4
The X-Files,6,16,6.4
The X-Files,6,17,7.2
The X-Files,6,18,7.6
The X-Files,6,19,8.4
The X-Files,6,20,7.9
The X-Files,6,21,8.5
The X-Files,6,22,8.2
The X-Files,7,1,7.8
The X-Files,7,2,7.8
The X-Files,7,3,7.8
The X-Files,7,4,7.8
The X-Files,7,5,7.3
The X-Files,7,6,8.2
The X-Files,7,7,7.5
The X-Files,7,8,8.1
The X-Files,7,9,6.6
The X-Files,7,10,8
The X-Files,7,11,8.1
The X-Files,7,12,8.4
The X-Files,7,13,6.1
The X-Files,7,14,7.3
The X-Files,7,15,8
The X-Files,7,16,7.4
The X-Files,7,17,7.1
The X-Files,7,18,7.5
The X-Files,7,19,7.3
The X-Files,7,20,6
The X-Files,7,21,8.4
The X-Files,7,22,8.6
The X-Files,8,1,8.2
The X-Files,8,2,8.3
The X-Files,8,3,7.5
The X-Files,8,4,8
The X-Files,8,5,7.6
The X-Files,8,6,8.3
The X-Files,8,7,7.5
The X-Files,8,8,6.8
The X-Files,8,9,6.8
The X-Files,8,10,6.8
The X-Files,8,11,7.7
The X-Files,8,12,7.3
The X-Files,8,13,7.8
The X-Files,8,14,8.3
The X-Files,8,15,8.2
The X-Files,8,16,8.1
The X-Files,8,17,7.1
The X-Files,8,18,7.8
The X-Files,8,19,7.8
The X-Files,8,20,8.4
The X-Files,8,21,8.7
The X-Files,9,1,7.3
The X-Files,9,2,7.3
The X-Files,9,3,7.1
The X-Files,9,4,7.8
The X-Files,9,5,6.9
The X-Files,9,6,7.4
The X-Files,9,7,7.4
The X-Files,9,8,7
The X-Files,9,9,7.4
The X-Files,9,10,7.2
The X-Files,9,11,7.5
The X-Files,9,12,7
The X-Files,9,13,7.3
The X-Files,9,14,7.3
The X-Files,9,15,7.3
The X-Files,9,16,7.6
The X-Files,9,17,8.1
The X-Files,9,18,7.6
The X-Files,9,19,8.2
The X-Files,10,1,7.8
The X-Files,10,2,7.8
The X-Files,10,3,8
The X-Files,10,4,7.2
The X-Files,10,5,6.4
The X-Files,10,6,7
The X-Files,11,1,6.4
The X-Files,11,2,7.2
The X-Files,11,3,7.8
The X-Files,11,4,8.2
The X-Files,11,5,7.9
The X-Files,11,6,7.3
The X-Files,11,7,8
The X-Files,11,8,8
The X-Files,11,9,6.6
The X-Files,11,10,7.3
Bones,1,1,7.6
Bones,1,2,7.3
Bones,1,3,7.5
Bones,1,4,7.8
Bones,1,5,7.8
Bones,1,6,7.4
Bones,1,7,8.1
Bones,1,8,7.9
Bones,1,9,8.6
Bones,1,10,7.5
Bones,1,11,7.7
Bones,1,12,7.7
Bones,1,13,7.5
Bones,1,14,7.4
Bones,1,15,8.4
Bones,1,16,7.6
Bones,1,17,7.5
Bones,1,18,7.5
Bones,1,19,8
Bones,1,20,8.2
Bones,1,21,7.5
Bones,1,22,8.6
