Show,Season,Episode,Rating
Scrubs,5,1,7.9
Scrubs,5,2,7.8
Scrubs,5,3,8.1
Scrubs,5,4,8.4
Scrubs,5,5,7.9
Scrubs,5,6,7.8
Scrubs,5,7,9.1
Scrubs,5,8,8.2
Scrubs,5,9,8.6
Scrubs,5,10,8.3
Scrubs,5,11,7.8
Scrubs,5,12,8.2
Scrubs,5,13,8.4
Scrubs,5,14,7.9
Scrubs,5,15,8.2
Scrubs,5,16,8.4
Scrubs,5,17,8
Scrubs,5,18,7.8
Scrubs,5,19,8.6
Scrubs,5,20,9.6
Scrubs,5,21,9.2
Scrubs,5,22,7.9
Scrubs,5,23,8.1
Scrubs,5,24,8.4
Scrubs,6,1,8
Scrubs,6,2,8.1
Scrubs,6,3,7.8
Scrubs,6,4,8.1
Scrubs,6,5,7.7
Scrubs,6,6,9
Scrubs,6,7,8.1
Scrubs,6,8,8.5
Scrubs,6,9,8
Scrubs,6,10,7.8
Scrubs,6,11,5.4
Scrubs,6,12,7.8
Scrubs,6,13,8.1
Scrubs,6,14,8.7
Scrubs,6,15,9
Scrubs,6,16,8.2
Scrubs,6,17,8.4
Scrubs,6,18,7.9
Scrubs,6,19,8.4
Scrubs,6,20,8.4
Scrubs,6,21,8.1
Scrubs,6,22,8.4
Scrubs,7,1,8.1
Scrubs,7,2,7.9
Scrubs,7,3,7.8
Scrubs,7,4,7.8
Scrubs,7,5,7.9
Scrubs,7,6,8
Scrubs,7,7,7.7
Scrubs,7,8,7.8
Scrubs,7,9,8.5
Scrubs,7,10,7.8
Scrubs,7,11,8
Scrubs,8,1,8
Scrubs,8,2,9.3
Scrubs,8,3,7.7
Scrubs,8,4,8.1
Scrubs,8,5,8.2
Scrubs,8,6,8.1
Scrubs,8,7,7.9
Scrubs,8,8,8.3
Scrubs,8,9,7.5
Scrubs,8,10,7.6
Scrubs,8,11,7.5
Scrubs,8,12,7.6
Scrubs,8,13,7.7
Scrubs,8,14,7.9
Scrubs,8,15,8.1
Scrubs,8,16,7.7
Scrubs,8,17,8.1
Scrubs,8,18,9.1
Scrubs,8,19,9.7
Scrubs,9,1,6.5
Scrubs,9,2,6.5
Scrubs,9,3,6.4
Scrubs,9,4,6.5
Scrubs,9,5,6.2
Scrubs,9,6,6.1
Scrubs,9,7,6.3
Scrubs,9,8,5.9
Scrubs,9,9,6.5
Scrubs,9,10,6.3
Scrubs,9,11,5.9
Scrubs,9,12,6
Scrubs,9,13,6.1
Superstore,1,1,7.4
Superstore,1,2,7.4
Superstore,1,3,7.5
Superstore,1,4,7.3
Superstore,1,5,7.3
Superstore,1,6,7.4
Superstore,1,7,7.8
Superstore,1,8,7.4
Superstore,1,9,8
Superstore,1,10,7.4
Superstore,1,11,8.2
Superstore,2,1,7.2
Superstore,2,2,7.4
Superstore,2,3,7.4
Superstore,2,4,7.5
Superstore,2,5,7.8
Superstore,2,6,7.4
Superstore,2,7,8
Superstore,2,8,7.5
Superstore,2,9,7.8
Superstore,2,10,8.3
Superstore,2,11,7.5
Superstore,2,12,7.6
Superstore,2,13,7.8
Superstore,2,14,7.9
Superstore,2,15,7.6
Superstore,2,16,8
Superstore,2,17,7.4
Superstore,2,18,7.5
Superstore,2,19,7.5
Superstore,2,20,7.4
Superstore,2,21,8.7
Superstore,2,22,8.7
Superstore,3,1,7.7
Superstore,3,2,7.7
Superstore,3,3,7.5
Superstore,3,4,7.7
Superstore,3,5,8.3
Superstore,3,6,7.5
Superstore,3,7,7.8
Superstore,3,8,7.5
Superstore,3,9,7.4
Superstore,3,10,7.8
Superstore,3,11,7.7
Superstore,3,12,7.6
Superstore,3,13,7.6
Superstore,3,14,7.6
Superstore,3,15,8.1
Superstore,3,16,7.8
Superstore,3,17,7.4
Superstore,3,18,7.2
Superstore,3,19,7.4
Superstore,3,20,7.8
Superstore,3,21,7.9
Superstore,3,22,8.2
Superstore,4,1,7.7
Superstore,4,2,7.5
Superstore,4,3,7.7
Superstore,4,4,7.9
Superstore,4,5,7.6
Superstore,4,6,7.7
Superstore,4,7,7.5
Superstore,4,8,7.9
Superstore,4,9,7.4
Superstore,4,10,7.7
Superstore,4,11,7.4
Superstore,4,12,8.2
Superstore,4,13,7.6
Superstore,4,14,7.5
Superstore,4,15,7.6
Superstore,4,16,7.6
Superstore,4,17,7.4
Superstore,4,18,7.3
Superstore,4,19,7.6
Superstore,4,20,7.6
Superstore,4,21,7.7
Superstore,4,22,8.6
Superstore,5,1,7.5
Superstore,5,2,7.4
Superstore,5,3,7.7
Superstore,5,4,7.2
Superstore,5,5,7.2
Superstore,5,6,7.8
Superstore,5,7,7.4
Superstore,5,8,7.2
Superstore,5,9,7.5
Superstore,5,10,7.8
Superstore,5,11,6.8
Superstore,5,12,7.4
Superstore,5,13,7.5
Superstore,5,14,8
Superstore,5,15,7.2
Superstore,5,16,7.9
Superstore,5,17,7.4
Superstore,5,18,7.4
Superstore,5,19,7.3
Superstore,5,20,7.8
Superstore,5,21,7.8
Superstore,6,1,8
Superstore,6,2,7.8
Superstore,6,3,7.9
Superstore,6,4,7.9
Superstore,6,5,6.9
Superstore,6,6,7.7
Superstore,6,7,7.8
Superstore,6,8,7.8
Superstore,6,9,7.9
Superstore,6,10,8
Superstore,6,11,8.2
Superstore,6,12,8.4
Superstore,6,13,7.9
Superstore,6,14,8.5
Superstore,6,15,9.5
True Blood,1,1,7.8
True Blood,1,2,7.9
True Blood,1,3,7.7
True Blood,1,4,8
True Blood,1,5,8.3
True Blood,1,6,8.1
True Blood,1,7,8
True Blood,1,8,8
True Blood,1,9,8.1
True Blood,1,10,8.3
True Blood,1,11,8.1
True Blood,1,12,8.5
True Blood,2,1,8.1
True Blood,2,2,8.2
True Blood,2,3,8.3
True Blood,2,4,8.2
True Blood,2,5,7.9
True Blood,2,6,8.2
True Blood,2,7,8.4
True Blood,2,8,8.8
True Blood,2,9,8.7
True Blood,2,10,8.5
True Blood,2,11,8
True Blood,2,12,8.1
True Blood,3,1,8.1
True Blood,3,2,8
True Blood,3,3,7.9
True Blood,3,4,8
True Blood,3,5,8.1
True Blood,3,6,8.1
True Blood,3,7,8.1
True Blood,3,8,8.2
True Blood,3,9,8.6
True Blood,3,10,7.9
True Blood,3,11,8.1
True Blood,3,12,8.1
True Blood,4,1,8
True Blood,4,2,8.2
True Blood,4,3,8
True Blood,4,4,7.9
True Blood,4,5,8
True Blood,4,6,8.1
True Blood,4,7,8.3
True Blood,4,8,8.1
True Blood,4,9,7.8
True Blood,4,10,7.9
True Blood,4,11,8.2
True Blood,4,12,8.4
True Blood,5,1,8.1
True Blood,5,2,7.7
True Blood,5,3,7.7
True Blood,5,4,7.7
True Blood,5,5,7.9
True Blood,5,6,7.9
True Blood,5,7,7.5
True Blood,5,8,7.6
True Blood,5,9,7.8
True Blood,5,10,7.7
True Blood,5,11,8.1
True Blood,5,12,8.4
True Blood,6,1,7.8
True Blood,6,2,7.7
True Blood,6,3,7.6
True Blood,6,4,8.2
True Blood,6,5,8
True Blood,6,6,8.1
True Blood,6,7,7.8
True Blood,6,8,7.6
True Blood,6,9,8
True Blood,6,10,7.4
True Blood,7,1,7
True Blood,7,2,6.8
True Blood,7,3,7.2
True Blood,7,4,7.9
True Blood,7,5,7.4
True Blood,7,6,7.5
True Blood,7,7,6.9
True Blood,7,8,7.1
True Blood,7,9,7
True Blood,7,10,5.4
Brooklyn Nine-Nine,,,
Chuck,,,
Community,,,
Dawson's Creek,,,
Downton Abbey,,,
Orange Is the New Black,,,
Smallville,,,
The Mindy Project,,,
Veronica Mars,,,
House,,,
Jane the Virgin,,,
My So-Called Life,,,
NCIS,,,
Remington Steele,,,
The Vampire Diaries,,,
Younger,,,
Abbott Elementary,,,
Agents of S.H.I.E.L.D.,,,
Alias,,,
Arrow,,,
Boy Meets World,,,
Desperate Housewives,,,
ER,,,
Felicity,,,
Fringe,,,
Futurama,,,
Living Single,,,
LOST,,,
Never Have I Ever,,,
One Tree Hill,,,
Saved by the Bell,,,
Stranger Things,,,
Teen Wolf,,,
The Big Bang Theory,,,
The Good Place,,,
The Good Wife,,,
The Nanny,,,
The O.C.,,,
The Sopranos,,,
90210,,,
7th Heaven,,,
Anne With An E,,,
Baby Daddy,,,
Battlestar Galactica,,,
Better Call Saul,,,
"Beverly Hills, 90210",,,
Californication,,,
Chicago Med,,,
Crazy Ex-Girlfriend,,,
Doug,,,
Farscape,,,
Fleabag,,,
Good Girls,,,
Gotham,,,
Grey's Anatomy,,,
Killing Eve,,,
Lucifer,,,
Mad Men,,,
Melissa & Joey,,,
Miss Fisher's Murder Mysteries,,,
Ned's Declassified School Survival Guide,,,
Nikita,,,
Once Upon a Time,,,
Pretty Little Liars,,,
Road to Avonlea,,,
Sabrina the Teenage Witch,,,
Scarecrow and Mrs. King,,,
Sense8,,,
Sex Education,,,
Shadowhunters,,,
Shameless,,,
Skins,,,
Sons of Anarchy,,,
Suits,,,
Supergirl,,,
Supernatural,,,
Take Two,,,
That 70's Show,,,
The Flash,,,
The Gifted,,,
The Mentalist,,,
Lois & Clark: The New Adventures of Superman,,,
The Office (UK),,,
The Rookie,,,
The West Wing,,,
This Is Us,,,
Who's the Boss?,,,
Wings,,,
Shadowhunters,,,
Shameless,,,
Skins,,,
Sleepy Hollow,,,
Sons of Anarchy,,,
Star Trek: The Next Generation,,,
Suits,,,
Supergirl,,,
Supernatural,,,
Take Two,,,
The Alienist,,,
The Americans,,,
The Flash,,,
The Gifted,,,
The Mentalist,,,
The New Adventures of Superman,,,
The Office (UK),,,
The Rookie,,,
The West Wing,,,
This Is Us,,,
Timeless,,,
Who's the Boss?,,,
Wings,,,
